"I(lj1)_x","I(lj1)_y","I(lj2)_x","I(lj2)_y","I(lj21)_x","I(lj21)_y","I(lj22)_x","I(lj22)_y","I(lj23)_x","I(lj23)_y","I(lj24)_x","I(lj24)_y","I(lj25)_x","I(lj25)_y","I(lj3)_x","I(lj3)_y","I(lj4)_x","I(lj4)_y","I(lj5)_x","I(lj5)_y","I(lc)_x","I(lc)_y"
50.90850999,-0.006924140319,50.90850999,-0.009297793249,50.90850999,0.01023715777,50.90850999,0.01131090067,50.90850999,0.01144044747,50.90850999,0.01065856995,50.90850999,0.00876902147,50.90850999,-0.01022029861,50.90850999,-0.009919907277,50.90850999,-0.008321750289,50.90850999,0.008,
51.09145251,-0.006924445054,51.09145251,-0.009297949478,51.09145251,0.01023664894,51.09145251,0.0113104354,51.09145251,0.01144005882,51.09145251,0.01065827354,51.09145251,0.008768828173,51.09145251,-0.01022034381,51.09145251,-0.009919902017,51.09145251,-0.008321749808,51.09145251,0.008,
51.22397535,-0.006924701372,51.22397535,-0.009298099814,51.22397535,0.01023623824,51.22397535,0.01131004747,51.22397535,0.01143973114,51.22397535,0.01065802243,51.22397535,0.008768661863,51.22397535,-0.01022040488,51.22397535,-0.009919917696,51.22397535,-0.00832176337,51.22397535,0.008,
51.35282433,-0.006924965603,51.35282433,-0.009298272494,51.35282433,0.0102358262,51.35282433,0.01130964493,51.35282433,0.01143938704,51.35282433,0.01065775733,51.35282433,0.008768483874,51.35282433,-0.01022048899,51.35282433,-0.009919951957,51.35282433,-0.008321789919,51.35282433,0.008,
51.48160185,-0.006925228358,51.48160185,-0.009298465539,51.48160185,0.0102354254,51.48160185,0.01130923542,51.48160185,0.01143903121,51.48160185,0.01065748106,51.48160185,0.008768295441,51.48160185,-0.01022059792,51.48160185,-0.009920007458,51.48160185,-0.008321831323,51.48160185,0.008,
51.61255204,-0.006925475326,51.61255204,-0.009298674487,51.61255204,0.01023505508,51.61255204,0.01130883178,51.61255204,0.01143867197,51.61255204,0.01065719881,51.61255204,0.008768099111,51.61255204,-0.0102207329,51.61255204,-0.00992008718,51.61255204,-0.008321889811,51.61255204,0.008,
51.74779268,-0.006925687259,51.74779268,-0.009298892002,51.74779268,0.01023474027,51.74779268,0.01130845105,51.74779268,0.01143832023,51.74779268,0.01065691712,51.74779268,0.008767898034,51.74779268,-0.01022089419,51.74779268,-0.009920194141,51.74779268,-0.008321967907,51.74779268,0.008,
51.88964726,-0.006925837938,51.88964726,-0.009299106179,51.88964726,0.01023451391,51.88964726,0.01130811629,51.88964726,0.01143799064,51.88964726,0.01065664453,51.88964726,0.008767696275,51.88964726,-0.01022108,51.88964726,-0.009920330908,51.88964726,-0.008322068274,51.88964726,0.008,
52.04102754,-0.006925891046,52.04102754,-0.009299297811,52.04102754,0.01023442003,52.04102754,0.01130785937,52.04102754,0.01143770358,52.04102754,0.0106563927,52.04102754,0.00876749936,52.04102754,-0.01022128471,52.04102754,-0.009920498697,52.04102754,-0.008322193422,52.04102754,0.008,
52.20607988,-0.006925794788,52.20607988,-0.009299435616,52.20607988,0.01023451925,52.20607988,0.01130772588,52.20607988,0.01143748863,52.20607988,0.01065617848,52.20607988,0.008767315338,52.20607988,-0.0102214955,52.20607988,-0.009920695568,52.20607988,-0.008322345043,52.20607988,0.008,
52.39157884,-0.006925470657,52.39157884,-0.009299466612,52.39157884,0.01023490005,52.39157884,0.01130778493,52.39157884,0.01143739187,52.39157884,0.01065602839,52.39157884,0.008767157238,52.39157884,-0.01022168535,52.39157884,-0.009920912393,52.39157884,-0.008322522325,52.39157884,0.008,
52.58255119,-0.006924889517,52.58255119,-0.009299330016,52.58255119,0.01023558586,52.58255119,0.01130808844,52.58255119,0.01143746722,52.58255119,0.0106559861,52.58255119,0.00876705796,52.58255119,-0.01022179221,52.58255119,-0.009921101627,52.58255119,-0.008322695158,52.58255119,0.008,
52.78104641,-0.006924028409,52.78104641,-0.009298985993,52.78104641,0.01023658667,52.78104641,0.01130865597,52.78104641,0.01143773649,52.78104641,0.01065606942,52.78104641,0.008767031125,52.78104641,-0.01022177225,52.78104641,-0.009921228267,52.78104641,-0.00832284254,52.78104641,0.008,
52.99234772,-0.006922847349,52.99234772,-0.009298388102,52.99234772,0.01023792624,52.99234772,0.01130950924,52.99234772,0.01143822379,52.99234772,0.01065630002,52.99234772,0.008767094315,52.99234772,-0.01022157439,52.99234772,-0.009921249315,52.99234772,-0.008322937077,52.99234772,0.008,
53.22483279,-0.006921258681,53.22483279,-0.009297468607,53.22483279,0.01023967074,53.22483279,0.01131068457,53.22483279,0.01143896347,53.22483279,0.01065671086,53.22483279,0.008767275972,53.22483279,-0.01022113041,53.22483279,-0.009921104891,53.22483279,-0.00832293723,53.22483279,0.008,
53.49113538,-0.006919053992,53.49113538,-0.009296110066,53.49113538,0.01024199638,53.49113538,0.01131225516,53.49113538,0.01144000706,53.49113538,0.0106573517,53.49113538,0.008767622457,53.49113538,-0.01022034191,53.49113538,-0.009920707256,53.49113538,-0.008322776013,53.49113538,0.008,
53.81289262,-0.006915661985,53.81289262,-0.009294040486,53.81289262,0.01024542366,53.81289262,0.01131443047,53.81289262,0.01144145841,53.81289262,0.01065830345,53.81289262,0.008768209007,53.81289262,-0.01021904083,53.81289262,-0.009919921761,53.81289262,-0.008322343794,53.81289262,0.008,
54.0486381,-0.006912488068,54.0486381,-0.00929218448,54.0486381,0.01024854374,54.0486381,0.01131626187,54.0486381,0.01144263456,54.0486381,0.01065909218,54.0486381,0.008768732257,54.0486381,-0.01021786817,54.0486381,-0.009919164841,54.0486381,-0.008321876255,54.0486381,0.008,
54.21617359,-0.006909788933,54.21617359,-0.009290658054,54.21617359,0.01025116604,54.21617359,0.01131772473,54.21617359,0.01144353384,54.21617359,0.01065969163,54.21617359,0.008769142523,54.21617359,-0.01021692391,54.21617359,-0.009918546551,54.21617359,-0.008321476088,54.21617359,0.008,
54.37050418,-0.006906911248,54.37050418,-0.009289068958,54.37050418,0.01025394728,54.37050418,0.01131922735,54.37050418,0.01144442022,54.37050418,0.01066027052,54.37050418,0.008769542707,54.37050418,-0.01021596806,54.37050418,-0.009917924886,54.37050418,-0.008321065034,54.37050418,0.008,
