1.000000000000000021e-02 4.499999999999519171e-11
2.000000000000000389e-02 8.999999999999286497e-11
3.000000000000000583e-02 1.369999999999921857e-10
4.000000000000000777e-02 1.859999999999910859e-10
5.000000000000000971e-02 2.389999999999881111e-10
6.000000000000001166e-02 2.959999999999851226e-10
7.000000000000000666e-02 3.589999999999810793e-10
8.000000000000000167e-02 4.299999999999749405e-10
9.000000000000001055e-02 5.139999999999701009e-10
1.000000000000000056e-01 6.139999999999610702e-10
