"frequency";"r dbJPM";"i dbJPM"
4.52505e+09;-3.29451e-07;0
4.5252e+09;-3.29692e-07;0
4.52535e+09;-3.29934e-07;0
4.5255e+09;-3.30177e-07;0
4.52565e+09;-3.30419e-07;0
4.5258e+09;-3.30663e-07;0
4.52595e+09;-3.30906e-07;0
4.5261e+09;-3.3115e-07;0
4.52625e+09;-3.31394e-07;0
4.5264e+09;-3.31639e-07;0
4.52655e+09;-3.31884e-07;0
4.5267e+09;-3.3213e-07;0
4.52685e+09;-3.32376e-07;0
4.527e+09;-3.32622e-07;0
4.52715e+09;-3.32869e-07;0
4.5273e+09;-3.33116e-07;0
4.52745e+09;-3.33364e-07;0
4.5276e+09;-3.33612e-07;0
4.52775e+09;-3.3386e-07;0
4.5279e+09;-3.34109e-07;0
4.52805e+09;-3.34358e-07;0
4.5282e+09;-3.34608e-07;0
4.52835e+09;-3.34858e-07;0
4.5285e+09;-3.35108e-07;0
4.52865e+09;-3.35359e-07;0
4.5288e+09;-3.3561e-07;0
4.52895e+09;-3.35862e-07;0
4.5291e+09;-3.36114e-07;0
4.52925e+09;-3.36367e-07;0
4.5294e+09;-3.3662e-07;0
4.52955e+09;-3.36874e-07;0
4.5297e+09;-3.37127e-07;0
4.52985e+09;-3.37382e-07;0
4.53e+09;-3.37636e-07;0
4.53015e+09;-3.37892e-07;0
4.5303e+09;-3.38147e-07;0
4.53045e+09;-3.38403e-07;0
4.5306e+09;-3.3866e-07;0
4.53075e+09;-3.38917e-07;0
4.5309e+09;-3.39174e-07;0
4.53105e+09;-3.39432e-07;0
4.5312e+09;-3.3969e-07;0
4.53135e+09;-3.39949e-07;0
4.5315e+09;-3.40208e-07;0
4.53165e+09;-3.40468e-07;0
4.5318e+09;-3.40728e-07;0
4.53195e+09;-3.40988e-07;0
4.5321e+09;-3.41249e-07;0
4.53225e+09;-3.4151e-07;0
4.5324e+09;-3.41772e-07;0
4.53255e+09;-3.42035e-07;0
4.5327e+09;-3.42297e-07;0
4.53285e+09;-3.42561e-07;0
4.533e+09;-3.42824e-07;0
4.53315e+09;-3.43088e-07;0
4.5333e+09;-3.43353e-07;0
4.53345e+09;-3.43618e-07;0
4.5336e+09;-3.43884e-07;0
4.53375e+09;-3.44149e-07;0
4.5339e+09;-3.44416e-07;0
4.53405e+09;-3.44683e-07;0
4.5342e+09;-3.4495e-07;0
4.53435e+09;-3.45218e-07;0
4.5345e+09;-3.45486e-07;0
4.53465e+09;-3.45755e-07;0
4.5348e+09;-3.46024e-07;0
4.53495e+09;-3.46294e-07;0
4.5351e+09;-3.46564e-07;0
4.53525e+09;-3.46835e-07;0
4.5354e+09;-3.47106e-07;0
4.53555e+09;-3.47378e-07;0
4.5357e+09;-3.4765e-07;0
4.53585e+09;-3.47923e-07;0
4.536e+09;-3.48196e-07;0
4.53615e+09;-3.4847e-07;0
4.5363e+09;-3.48744e-07;0
4.53645e+09;-3.49018e-07;0
4.5366e+09;-3.49293e-07;0
4.53675e+09;-3.49569e-07;0
4.5369e+09;-3.49845e-07;0
4.53705e+09;-3.50122e-07;0
4.5372e+09;-3.50399e-07;0
4.53735e+09;-3.50676e-07;0
4.5375e+09;-3.50955e-07;0
4.53765e+09;-3.51233e-07;0
4.5378e+09;-3.51512e-07;0
4.53795e+09;-3.51792e-07;0
4.5381e+09;-3.52072e-07;0
4.53825e+09;-3.52353e-07;0
4.5384e+09;-3.52634e-07;0
4.53855e+09;-3.52915e-07;0
4.5387e+09;-3.53198e-07;0
4.53885e+09;-3.5348e-07;0
4.539e+09;-3.53763e-07;0
4.53915e+09;-3.54047e-07;0
4.5393e+09;-3.54331e-07;0
4.53945e+09;-3.54616e-07;0
4.5396e+09;-3.54902e-07;0
4.53975e+09;-3.55187e-07;0
4.5399e+09;-3.55474e-07;0
4.54005e+09;-3.55761e-07;0
4.5402e+09;-3.56048e-07;0
4.54035e+09;-3.56336e-07;0
4.5405e+09;-3.56624e-07;0
4.54065e+09;-3.56913e-07;0
4.5408e+09;-3.57203e-07;0
4.54095e+09;-3.57493e-07;0
4.5411e+09;-3.57784e-07;0
4.54125e+09;-3.58075e-07;0
4.5414e+09;-3.58367e-07;0
4.54155e+09;-3.58659e-07;0
4.5417e+09;-3.58952e-07;0
4.54185e+09;-3.59245e-07;0
4.542e+09;-3.59539e-07;0
4.54215e+09;-3.59834e-07;0
4.5423e+09;-3.60129e-07;0
4.54245e+09;-3.60424e-07;0
4.5426e+09;-3.6072e-07;0
4.54275e+09;-3.61017e-07;0
4.5429e+09;-3.61315e-07;0
4.54305e+09;-3.61612e-07;0
4.5432e+09;-3.61911e-07;0
4.54335e+09;-3.6221e-07;0
4.5435e+09;-3.62509e-07;0
4.54365e+09;-3.62809e-07;0
4.5438e+09;-3.6311e-07;0
4.54395e+09;-3.63411e-07;0
4.5441e+09;-3.63713e-07;0
4.54425e+09;-3.64016e-07;0
4.5444e+09;-3.64319e-07;0
4.54455e+09;-3.64622e-07;0
4.5447e+09;-3.64927e-07;0
4.54485e+09;-3.65231e-07;0
4.545e+09;-3.65537e-07;0
4.54515e+09;-3.65843e-07;0
4.5453e+09;-3.66149e-07;0
4.54545e+09;-3.66456e-07;0
4.5456e+09;-3.66764e-07;0
4.54575e+09;-3.67073e-07;0
4.5459e+09;-3.67382e-07;0
4.54605e+09;-3.67691e-07;0
4.5462e+09;-3.68001e-07;0
4.54635e+09;-3.68312e-07;0
4.5465e+09;-3.68623e-07;0
4.54665e+09;-3.68935e-07;0
4.5468e+09;-3.69248e-07;0
4.54695e+09;-3.69561e-07;0
4.5471e+09;-3.69875e-07;0
4.54725e+09;-3.7019e-07;0
4.5474e+09;-3.70505e-07;0
4.54755e+09;-3.7082e-07;0
4.5477e+09;-3.71137e-07;0
4.54785e+09;-3.71454e-07;0
4.548e+09;-3.71771e-07;0
4.54815e+09;-3.72089e-07;0
4.5483e+09;-3.72408e-07;0
4.54845e+09;-3.72728e-07;0
4.5486e+09;-3.73048e-07;0
4.54875e+09;-3.73369e-07;0
4.5489e+09;-3.7369e-07;0
4.54905e+09;-3.74012e-07;0
4.5492e+09;-3.74335e-07;0
4.54935e+09;-3.74658e-07;0
4.5495e+09;-3.74982e-07;0
4.54965e+09;-3.75307e-07;0
4.5498e+09;-3.75632e-07;0
4.54995e+09;-3.75958e-07;0
4.5501e+09;-3.76285e-07;0
4.55025e+09;-3.76612e-07;0
4.5504e+09;-3.7694e-07;0
4.55055e+09;-3.77269e-07;0
4.5507e+09;-3.77598e-07;0
4.55085e+09;-3.77928e-07;0
4.551e+09;-3.78259e-07;0
4.55115e+09;-3.7859e-07;0
4.5513e+09;-3.78922e-07;0
4.55145e+09;-3.79255e-07;0
4.5516e+09;-3.79588e-07;0
4.55175e+09;-3.79922e-07;0
4.5519e+09;-3.80257e-07;0
4.55205e+09;-3.80592e-07;0
4.5522e+09;-3.80928e-07;0
4.55235e+09;-3.81265e-07;0
4.5525e+09;-3.81603e-07;0
4.55265e+09;-3.81941e-07;0
4.5528e+09;-3.8228e-07;0
4.55295e+09;-3.8262e-07;0
4.5531e+09;-3.8296e-07;0
4.55325e+09;-3.83301e-07;0
4.5534e+09;-3.83643e-07;0
4.55355e+09;-3.83985e-07;0
4.5537e+09;-3.84328e-07;0
4.55385e+09;-3.84672e-07;0
4.554e+09;-3.85017e-07;0
4.55415e+09;-3.85362e-07;0
4.5543e+09;-3.85708e-07;0
4.55445e+09;-3.86055e-07;0
4.5546e+09;-3.86403e-07;0
4.55475e+09;-3.86751e-07;0
4.5549e+09;-3.871e-07;0
4.55505e+09;-3.8745e-07;0
4.5552e+09;-3.878e-07;0
4.55535e+09;-3.88152e-07;0
4.5555e+09;-3.88504e-07;0
4.55565e+09;-3.88856e-07;0
4.5558e+09;-3.8921e-07;0
4.55595e+09;-3.89564e-07;0
4.5561e+09;-3.89919e-07;0
4.55625e+09;-3.90275e-07;0
4.5564e+09;-3.90631e-07;0
4.55655e+09;-3.90989e-07;0
4.5567e+09;-3.91347e-07;0
4.55685e+09;-3.91706e-07;0
4.557e+09;-3.92065e-07;0
4.55715e+09;-3.92426e-07;0
4.5573e+09;-3.92787e-07;0
4.55745e+09;-3.93149e-07;0
4.5576e+09;-3.93511e-07;0
4.55775e+09;-3.93875e-07;0
4.5579e+09;-3.94239e-07;0
4.55805e+09;-3.94604e-07;0
4.5582e+09;-3.9497e-07;0
4.55835e+09;-3.95337e-07;0
4.5585e+09;-3.95705e-07;0
4.55865e+09;-3.96073e-07;0
4.5588e+09;-3.96442e-07;0
4.55895e+09;-3.96812e-07;0
4.5591e+09;-3.97183e-07;0
4.55925e+09;-3.97554e-07;0
4.5594e+09;-3.97927e-07;0
4.55955e+09;-3.983e-07;0
4.5597e+09;-3.98674e-07;0
4.55985e+09;-3.99049e-07;0
4.56e+09;-3.99425e-07;0
4.56015e+09;-3.99801e-07;0
4.5603e+09;-4.00179e-07;0
4.56045e+09;-4.00557e-07;0
4.5606e+09;-4.00936e-07;0
4.56075e+09;-4.01316e-07;0
4.5609e+09;-4.01697e-07;0
4.56105e+09;-4.02078e-07;0
4.5612e+09;-4.02461e-07;0
4.56135e+09;-4.02844e-07;0
4.5615e+09;-4.03228e-07;0
4.56165e+09;-4.03613e-07;0
4.5618e+09;-4.03999e-07;0
4.56195e+09;-4.04386e-07;0
4.5621e+09;-4.04774e-07;0
4.56225e+09;-4.05162e-07;0
4.5624e+09;-4.05552e-07;0
