0,6.40E-11,0.01,0
0.1,7.80E-11,0.02,1.00E-11
0.2,9.40E-11,0.03,2.00E-11
0.3,1.15E-10,0.04,3.40E-11
0.4,1.43E-10,0.05,4.80E-11
0.5,1.83E-10,0.06,6.10E-11
0.6,2.43E-10,0.07,7.30E-11
0.7,3.39E-10,0.08,8.70E-11
0.8,5.19E-10,0.09,1.00E-10
0.9,9.65E-10,0.1,1.14E-10
